"Module_1" 15000 15000 0 10000 10000 10000 15000 15000 5000
"Module_2" 15000 5000 0 10000 10000 10000 15000 5000 5000
"Module_3" 15000 -5000 0 10000 10000 10000 15000 -5000 5000
"Module_4" 15000 -15000 0 10000 10000 10000 15000 -15000 5000
"Module_5" -5000 -15000 0 10000 10000 10000 -5000 -15000 5000
"Module_6" -15000 -15000 0 10000 10000 10000 -15000 -15000 5000
"Module_7" -300000 -5000 0 10000 10000 10000 -300000 -5000 5000
"Module_8" -300000 5000 0 10000 10000 10000 -300000 5000 5000
"Module_9" -300000 15000 0 10000 10000 10000 -300000 15000 5000
"Module_10" 15000 5000 10000 10000 10000 10000 15000 5000 15000
"Module_11" 15000 15000 10000 10000 10000 10000 15000 15000 15000
"Module_12" -300000 15000 10000 10000 10000 10000 -300000 15000 15000
"Module_15" -160000 -15000 0 10000 250000 20000 -160000 -5000 10000
